;dur_ttl;dur_outer;l_dur_ttl;l_dur_outer
0.148.172.24;7636.657237995308;7047.921180728638;0.0;0.0
0.148.172.48;1547764.8031713394;1477924.308299385;0.0;0.0
0.148.173.245;20553.610563281272;19314.592838289274;0.0;0.0
0.148.179.118;6307.166099545989;5920.405864712047;0.0;0.0
0.148.182.170;17454.62083816652;16657.021522490373;0.0;0.0
0.148.182.181;19.4089412689;8.090734481810001;0.0;0.0
0.148.192.251;15336.917161944448;14151.864767081724;0.0;0.0
0.148.198.128;1362.97392844671;1231.1706542934528;0.0;0.0
0.148.208.240;72.02887535092;30.58934211728;0.0;0.0
0.148.21.33;387.2156143188099;200.30379295352998;0.0;0.0
0.148.21.77;356.4403057098;196.84505462643003;0.0;0.0
0.148.213.29;715518.6388492134;672286.9627475298;0.0;0.0
0.148.224.188;589079.0965557409;559685.1890087401;0.0;0.0
0.148.227.145;49976.51910782454;46820.11818885854;0.0;0.0
0.148.227.240;140765.46788213705;134237.9269599797;0.0;0.0
0.148.231.124;15381.220817586674;14744.361639010094;0.0;0.0
0.148.240.146;10048473.403453749;8805373.439073334;9998963.726997295;8761460.654258518
0.148.240.185;1332.2138786323;1272.8981971706928;0.0;0.0
0.148.240.255;115075.59990877553;106664.58201412046;0.0;0.0
0.148.243.211;36846.978664381626;34967.33951570423;0.0;0.0
0.148.245.31;51943.677663788636;47465.37518500159;0.0;0.0
0.148.247.211;15555.123567580067;11598.827123634801;0.0;0.0
0.148.249.209;5778.80454062963;5478.261709210438;0.0;0.0
0.148.255.105;769955.081701388;726834.1836929687;0.0;0.0
0.148.255.115;531454.539299056;491692.87347788987;0.0;0.0
0.148.30.120;26798.997879054747;25699.439764024013;0.0;0.0
0.148.30.49;87788.48958013917;82178.50184438439;0.0;0.0
0.148.32.140;311080.33418651845;298859.3201636945;0.0;0.0
0.148.37.13;8896.587848665878;8493.615150448364;0.0;0.0
0.148.5.152;46397.66263962178;43961.04216576285;0.0;0.0
0.148.5.5;1197.17121124312;1110.433578491;0.0;0.0
0.148.53.231;5206.13718032529;4951.212167744469;0.0;0.0
0.148.53.71;1507959.1052533835;1403226.6528603458;0.0;0.0
0.148.6.135;4808.39109421425;4578.652620308804;0.0;0.0
0.148.6.231;2466915.1399141457;2358781.8722721054;0.0;0.0
0.148.67.201;30.3831100464;14.6164894104;0.0;0.0
0.148.71.178;584595.745325234;536347.8038311155;0.0;0.0
0.148.75.242;1136.28530502434;1038.021802902;0.0;0.0
0.148.79.123;4.3687820434599995;0.7269382476809999;0.0;0.0
0.148.79.223;7524.660587314287;7034.0204238951155;0.0;0.0
0.148.80.147;214548.09331861668;189949.22494879394;0.0;0.0
0.148.87.216;3648.2288837411697;3446.3100433386962;0.0;0.0
0.148.91.101;11053.601026531951;10077.273130410565;0.0;0.0
0.148.99.74;8175.30250549982;7604.852676397928;0.0;0.0
0.149.0.202;1046935.2800846272;885674.9131679646;0.0;0.0
0.149.100.193;323069.45586202416;292761.7459297491;0.0;0.0
